Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
GO: Biological Process	GO:0090092	regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	 	4.433E-6	2.389E-2	4.685E-4	4.296E-3	18	363	ABL1,MMP2,FST,SMURF2,POU5F1,IGFBP3,OSR1,RASL11B,NUP93,INHBA,ZNF423,RGMA,MAGI2,SULF1,TGFB2,LTBP1,SMAD3,SMAD7
GO: Biological Process	GO:0048598	embryonic morphogenesis	 	4.855E-6	2.617E-2	5.032E-4	4.615E-3	37	1185	ABL1,MBP,PKD2,ALCAM,MMP2,ALDH1A3,FST,COL8A1,COL12A1,CHSY1,POU5F1,IGFBP3,MICAL2,OSR1,FYN,PROX1,MYC,INHBA,SIX4,ITGB5,RGMA,PTPRE,FIBIN,SULF1,CRISPLD2,TCF21,RTN4,AFF3,LAMB1,CASP8,EDN1,EDNRA,MSGN1,TGFB2,MACF1,LUM,SMAD3
GO: Biological Process	GO:0007178	transmembrane receptor protein serine/threonine kinase signaling pathway	 	5.273E-6	2.842E-2	5.302E-4	4.862E-3	22	521	ABL1,TRPS1,MMP2,FST,SMURF2,POU5F1,PALM2AKAP2,IGFBP3,OSR1,RASL11B,NUP93,INHBA,ZNF423,ITGB5,RGMA,MAGI2,SULF1,DYNLRB1,TGFB2,LTBP1,SMAD3,SMAD7
GO: Biological Process	GO:0072074	kidney mesenchyme development	 	5.312E-6	2.863E-2	5.302E-4	4.862E-3	5	19	PKD2,OSR1,MYC,SIX4,TCF21
GO: Biological Process	GO:0030036	actin cytoskeleton organization	 	6.386E-6	3.442E-2	6.237E-4	5.719E-3	30	871	ABL1,ACTN1,SSH1,AMOTL1,CNN3,WIPF1,CARMIL1,RGCC,GAS7,NOX4,PALM2AKAP2,MICAL2,FOXP1,PROX1,BCL2,SIRPA,SIX4,ITGB5,MPRIP,NRP1,KANK1,PDLIM3,SVIL,JAM3,CAPZB,ARPIN-AP3S2,EDN1,TGFB2,FMNL3,SMAD3
GO: Biological Process	GO:0001568	blood vessel development	 	6.480E-6	3.493E-2	6.237E-4	5.719E-3	36	1152	DDAH1,ABL1,VSTM4,RIN2,AMOTL1,PKD2,MMP2,JCAD,COL8A1,ANXA2,RGCC,PDGFD,OSR1,PROX1,CYP1B1,NRP1,STIM1,PXDN,SULF1,JAM3,TCF21,RTN4,CNTRL,CASP8,ADTRP,EDN1,EDNRA,TGFB2,FMNL3,THBS4,ANGPTL2,LOXL2,LTBP1,ELL,EPAS1,SMAD7
GO: Biological Process	GO:0002009	morphogenesis of an epithelium	 	6.866E-6	3.701E-2	6.493E-4	5.954E-3	32	966	ABL1,ESR1,PKD2,ALCAM,MMP2,ALDH1A3,FST,SMURF2,TNC,POU5F1,AKAP12,IGFBP3,MICAL2,OSR1,PRICKLE2,FOXP1,FYN,PROX1,MYC,BCL2,SIX4,NRP1,RGMA,MAGI2,PTPRE,SULF1,TCF21,CASP8,EDN1,EDNRA,TGFB2,SMAD3
GO: Biological Process	GO:0030155	regulation of cell adhesion	 	7.625E-6	4.110E-2	7.086E-4	6.498E-3	32	971	CDKN2A,ABL1,MBP,F2R,RIN2,MMP2,COL8A1,ANK3,TNC,CARMIL1,RGCC,CCDC80,PDE5A,ZFHX3,FYN,CYP1B1,ADAM19,BCL2,SIRPA,NRP1,MAGI2,KANK1,JAM3,LAMA2,LAMB1,ADTRP,TGFB2,SPRY4,MACF1,PLEKHA2,SMAD3,SMAD7
GO: Biological Process	GO:0035987	endodermal cell differentiation	 	8.593E-6	4.631E-2	7.719E-4	7.078E-3	8	73	MMP2,COL8A1,COL12A1,POU5F1,OSR1,INHBA,ITGB5,LAMB1
GO: Biological Process	GO:1903053	regulation of extracellular matrix organization	 	8.593E-6	4.631E-2	7.719E-4	7.078E-3	8	73	ABL1,CREB3L2,RGCC,LAMA2,LAMB1,ADTRP,TGFB2,SMAD3
GO: Biological Process	GO:0001667	ameboidal-type cell migration	 	9.253E-6	4.987E-2	8.176E-4	7.497E-3	26	709	ABL1,VSTM4,RIN2,AMOTL1,SMURF2,JCAD,FNDC3B,TNC,ANXA6,RGCC,AKAP12,RADIL,FOXP1,PROX1,CYP1B1,MASP1,NRP1,KANK1,RTN4,CAPZB,ADTRP,EDN1,EDNRA,TGFB2,LOXL2,MACF1
GO: Biological Process	GO:0060840	artery development	 	9.488E-6	5.114E-2	8.248E-4	7.563E-3	11	150	PKD2,PROX1,NRP1,TCF21,RTN4,CNTRL,EDN1,EDNRA,TGFB2,LTBP1,SMAD7
GO: Biological Process	GO:0061440	kidney vasculature development	 	1.016E-5	5.474E-2	8.501E-4	7.795E-3	6	36	PKD2,PDGFD,OSR1,NRP1,TCF21,EDNRA
GO: Biological Process	GO:0061437	renal system vasculature development	 	1.016E-5	5.474E-2	8.501E-4	7.795E-3	6	36	PKD2,PDGFD,OSR1,NRP1,TCF21,EDNRA
GO: Biological Process	GO:0050673	epithelial cell proliferation	 	1.025E-5	5.525E-2	8.501E-4	7.795E-3	24	627	CDKN2A,ESR1,VSTM4,FST,JCAD,COL8A1,RGCC,IGFBP3,OSR1,FOXP1,PROX1,MYC,SIX4,NRP1,SULF1,RTN4,LAMB1,EDNRA,TGFB2,LIPA,THBS4,LOXL2,SERPINB1,SMAD3
GO: Biological Process	GO:0007010	cytoskeleton organization	 	1.080E-5	5.820E-2	8.818E-4	8.086E-3	47	1736	ABL1,MAP2,ACTN1,SSH1,AMOTL1,PKD2,MLH1,CNN3,WIPF1,ANK3,CARMIL1,RGCC,GAS7,NOX4,PALM2AKAP2,CHMP2B,MICAL2,SENP6,FOXP1,PROX1,TTLL5,BCL2,SIRPA,SIX4,MAST2,ITGB5,BFSP1,MPRIP,NRP1,KANK1,DST,PDLIM3,SVIL,TACC1,JAM3,ARHGEF28,CNTRL,CAPZB,ARPIN-AP3S2,EDN1,TGFB2,FMNL3,CFAP58,MACF1,CFAP69,SMAD3,PLCE1
GO: Biological Process	GO:0001655	urogenital system development	 	1.210E-5	6.523E-2	9.673E-4	8.870E-3	23	591	ESR1,PKD2,MMP2,ALDH1A3,TNC,VCAN,PDGFD,OSR1,PROX1,MYC,BCL2,SIX4,NRP1,MAGI2,SULF1,TCF21,CNTRL,EDNRA,TGFB2,HEYL,SMAD3,SMAD7,PLCE1
GO: Biological Process	GO:0071495	cellular response to endogenous stimulus	 	1.220E-5	6.578E-2	9.673E-4	8.870E-3	50	1903	ABL1,ESR1,KLF3,TLR6,RXRG,NOD1,SSH1,MTUS1,PKD2,FLRT2,MMP2,FST,SMURF2,TNC,NOX4,POU5F1,IGFBP3,PLPP1,PDGFD,RASL11B,FOXP1,FYN,MYC,CYP1B1,INHBA,ZNF423,PANX1,ITGB5,SOCS2,RGMA,MAGI2,KANK1,PTPRE,SULF1,SUPT5H,DYNLRB1,C9,RAB31,TCF21,GRB10,CASP7,ADTRP,EDN1,EDNRA,TGFB2,HEYL,SPRY4,LTBP1,SMAD3,SMAD7
GO: Biological Process	GO:0070848	response to growth factor	 	1.551E-5	8.359E-2	1.211E-3	1.111E-2	32	1006	ABL1,FLRT2,MMP2,FST,SMURF2,JCAD,TNC,NOX4,POU5F1,IGFBP3,PDGFD,RASL11B,ZFHX3,FYN,MYC,ZNF423,ITGB5,NRP1,RGMA,MAGI2,SULF1,SUPT5H,DYNLRB1,GRB10,EDN1,TGFB2,HEYL,SPRY4,LTBP1,LUM,SMAD3,SMAD7
GO: Biological Process	GO:0007517	muscle organ development	 	1.814E-5	9.780E-2	1.397E-3	1.281E-2	22	564	ACTN1,RXRG,COL6A3,FOXP1,ZFHX3,PROX1,MYC,BCL2,SIX4,PDLIM3,SVIL,SIN3B,ARHGEF28,TCF21,LAMA2,LAMB1,EDNRA,TGFB2,HEYL,SPRY4,SMAD3,SMAD7
GO: Biological Process	GO:0048666	neuron development	 	1.923E-5	1.037E-1	1.460E-3	1.339E-2	45	1670	ABL1,TRIO,MAP2,MATN2,MBP,TENM2,ALCAM,FLRT2,MMP2,CREB3L2,COL6A3,COL12A1,ANK3,TNC,GAS7,CCDC80,BTBD3,VCAN,PRICKLE2,FOXP1,FYN,PROX1,BCL2,TIAM2,NRP1,STIM1,RGMA,MAGI2,PRDM8,KANK1,DST,SUPT5H,JAM3,NOVA1,ARHGEF28,RTN4,CAPZB,LAMA2,LAMB1,LAMC2,EDN1,EDNRA,TGFB2,THBS4,MACF1
GO: Biological Process	GO:0030029	actin filament-based process	 	1.979E-5	1.067E-1	1.479E-3	1.356E-2	31	971	ABL1,ACTN1,KCNE4,SSH1,AMOTL1,CNN3,WIPF1,CARMIL1,RGCC,GAS7,NOX4,PALM2AKAP2,MICAL2,FOXP1,PROX1,BCL2,SIRPA,SIX4,ITGB5,MPRIP,NRP1,KANK1,PDLIM3,SVIL,JAM3,CAPZB,ARPIN-AP3S2,EDN1,TGFB2,FMNL3,SMAD3
GO: Biological Process	GO:0060537	muscle tissue development	 	2.003E-5	1.080E-1	1.479E-3	1.356E-2	25	697	ABL1,ACTN1,RXRG,PKD2,COL14A1,FHL2,NOX4,OSR1,FOXP1,PROX1,MYC,BCL2,SIX4,PDLIM3,SVIL,SIN3B,TCF21,CASP8,EDN1,EDNRA,TGFB2,HEYL,SPRY4,SMAD3,SMAD7
GO: Biological Process	GO:0009887	animal organ morphogenesis	 	2.111E-5	1.138E-1	1.538E-3	1.410E-2	46	1729	CDKN2A,ABL1,ESR1,FOXN3,PKD2,ALCAM,FLRT2,MMP2,ALDH1A3,FHL2,FST,SMURF2,COL8A1,TNC,ANXA6,CHSY1,POU5F1,AKAP12,IGFBP3,MICAL2,OSR1,PRICKLE2,PROX1,MYC,INHBA,BCL2,SIX4,NRP1,STIM1,MAGI2,SULF1,CRISPLD2,ARHGEF28,TCF21,RTN4,LAMA2,LAMB1,LAMC2,EDN1,EDNRA,MSGN1,TGFB2,HEYL,LUM,SMAD3,SMAD7
GO: Biological Process	GO:0051240	positive regulation of multicellular organismal process	 	2.338E-5	1.260E-1	1.680E-3	1.541E-2	50	1950	DDAH1,ABL1,ACACB,MBP,KPNA6,LY96,TLR6,F2R,EBF2,NOD1,MLH1,CMKLR1,FLRT2,FST,SMURF2,JCAD,TNC,ANXA2,RGCC,POU5F1,AKAP12,OSR1,FOXP1,PDE5A,PROX1,MYC,CYP1B1,INHBA,GATM,PANX1,BCL2,SIX4,TIAM2,NRP1,STIM1,SULF1,NPAS2,RTN4,GRB10,CASP8,EDN1,EDNRA,TGFB2,LOXL2,MACF1,IRAK3,LUM,EPAS1,SMAD3,SMAD7
GO: Biological Process	GO:0048514	blood vessel morphogenesis	 	2.418E-5	1.304E-1	1.715E-3	1.573E-2	32	1029	DDAH1,ABL1,VSTM4,RIN2,AMOTL1,PKD2,MMP2,JCAD,COL8A1,ANXA2,RGCC,PROX1,CYP1B1,NRP1,STIM1,PXDN,SULF1,JAM3,TCF21,RTN4,CASP8,ADTRP,EDN1,EDNRA,TGFB2,FMNL3,THBS4,ANGPTL2,LOXL2,ELL,EPAS1,SMAD7
GO: Biological Process	GO:0022603	regulation of anatomical structure morphogenesis	 	2.845E-5	1.533E-1	1.991E-3	1.826E-2	37	1284	DDAH1,ABL1,MAP2,ESR1,MBP,ALCAM,SMURF2,JCAD,TNC,CARMIL1,RGCC,GAS7,POU5F1,PALM2AKAP2,OSR1,PRICKLE2,FOXP1,FYN,CYP1B1,SIX4,TIAM2,NRP1,STIM1,RGMA,MAGI2,KANK1,SULF1,RTN4,CAPZB,ARPIN-AP3S2,EDN1,EDNRA,TGFB2,FMNL3,THBS4,SPRY4,MACF1
GO: Biological Process	GO:0060562	epithelial tube morphogenesis	 	3.323E-5	1.791E-1	2.296E-3	2.105E-2	22	587	ABL1,ESR1,PKD2,ALCAM,FST,TNC,IGFBP3,MICAL2,OSR1,FOXP1,PROX1,MYC,BCL2,SIX4,NRP1,RGMA,TCF21,CASP8,EDN1,EDNRA,TGFB2,SMAD3
GO: Biological Process	GO:0001657	ureteric bud development	 	3.449E-5	1.859E-1	2.324E-3	2.131E-2	9	114	PKD2,VCAN,OSR1,MYC,BCL2,SIX4,TCF21,SMAD3,SMAD7
GO: Biological Process	GO:0031102	neuron projection regeneration	 	3.449E-5	1.859E-1	2.324E-3	2.131E-2	9	114	MATN2,MMP2,COL12A1,TNC,VCAN,BCL2,RGMA,JAM3,RTN4
GO: Biological Process	GO:0001763	morphogenesis of a branching structure	 	4.037E-5	2.176E-1	2.686E-3	2.463E-2	14	276	ABL1,ESR1,PKD2,TNC,PROX1,MYC,BCL2,SIX4,NRP1,SULF1,TCF21,RTN4,EDN1,EDNRA
GO: Biological Process	GO:0072164	mesonephric tubule development	 	4.531E-5	2.442E-1	2.942E-3	2.698E-2	9	118	PKD2,VCAN,OSR1,MYC,BCL2,SIX4,TCF21,SMAD3,SMAD7
GO: Biological Process	GO:0072163	mesonephric epithelium development	 	4.531E-5	2.442E-1	2.942E-3	2.698E-2	9	118	PKD2,VCAN,OSR1,MYC,BCL2,SIX4,TCF21,SMAD3,SMAD7
GO: Biological Process	GO:0002062	chondrocyte differentiation	 	4.604E-5	2.482E-1	2.954E-3	2.709E-2	10	147	TRPS1,MSMO1,CREB3L2,ANXA6,CHSY1,OSR1,SULF1,LOXL2,SMAD3,SMAD7
GO: Biological Process	GO:0014070	response to organic cyclic compound	 	4.816E-5	2.596E-1	3.054E-3	2.800E-2	43	1628	CDKN2A,ABL1,ACACB,MAP2,ESR1,MBD1,MBP,RXRG,SSH1,PKD2,MLH1,MMP2,FST,MN1,TNC,NOX4,POU5F1,MIR100,IGFBP3,PLPP1,FOXP1,PDE5A,MYC,ATP5MC2,CYP1B1,INHBA,PANX1,BCL2,SOCS2,FIBIN,C1S,TCF21,NT5E,CASP7,CASP8,ADTRP,EDN1,EDNRA,TGFB2,HEYL,IRAK3,LTBP1,LUM
GO: Biological Process	GO:0007492	endoderm development	 	4.877E-5	2.629E-1	3.057E-3	2.803E-2	10	148	MMP2,COL8A1,COL12A1,POU5F1,OSR1,RASL11B,INHBA,ITGB5,LAMB1,SMAD3
GO: Biological Process	GO:0043410	positive regulation of MAPK cascade	 	4.957E-5	2.672E-1	3.071E-3	2.816E-2	22	603	DOK6,TRAF1,ABL1,ESR1,TLR6,F2R,NOD1,JCAD,NOX4,AKAP12,IGFBP3,PDGFD,PDE5A,INHBA,MAP3K12,NRP1,KSR1,EDN1,EDNRA,TGFB2,TPD52L1,PLCE1
GO: Biological Process	GO:0019220	regulation of phosphate metabolic process	 	5.020E-5	2.706E-1	3.075E-3	2.819E-2	44	1684	CDKN2A,ABL1,TLR6,ANKRD54,PKD2,SH3BP5,ANXA2,RGCC,NOX4,PRKAG3,LRRC46,IGFBP3,VCAN,PDGFD,PDE5A,FYN,PROX1,MYC,INHBA,SLCO3A1,BCL2,SIRPA,MAP3K12,MPRIP,NRP1,SOCS2,RGMA,MAGI2,KSR1,CNTRL,GRB10,LRRK1,ADTRP,EDN1,EDNRA,TGFB2,THBS4,SPRY4,MOB3B,IRAK3,SMAD3,SMAD7,TPD52L1,PLCE1
GO: Biological Process	GO:0051174	regulation of phosphorus metabolic process	 	5.090E-5	2.743E-1	3.083E-3	2.827E-2	44	1685	CDKN2A,ABL1,TLR6,ANKRD54,PKD2,SH3BP5,ANXA2,RGCC,NOX4,PRKAG3,LRRC46,IGFBP3,VCAN,PDGFD,PDE5A,FYN,PROX1,MYC,INHBA,SLCO3A1,BCL2,SIRPA,MAP3K12,MPRIP,NRP1,SOCS2,RGMA,MAGI2,KSR1,CNTRL,GRB10,LRRK1,ADTRP,EDN1,EDNRA,TGFB2,THBS4,SPRY4,MOB3B,IRAK3,SMAD3,SMAD7,TPD52L1,PLCE1
GO: Biological Process	GO:0000165	MAPK cascade	 	5.246E-5	2.828E-1	3.142E-3	2.881E-2	30	974	DOK6,TRAF1,ABL1,ESR1,MBP,TLR6,F2R,NOD1,SH3BP5,JCAD,NOX4,AKAP12,IGFBP3,PDGFD,PDE5A,MYC,INHBA,SIRPA,MAP3K12,NRP1,KSR1,GRB10,EDN1,EDNRA,TGFB2,SPRY4,IRAK3,SMAD3,TPD52L1,PLCE1
GO: Biological Process	GO:0032101	regulation of response to external stimulus	 	6.068E-5	3.270E-1	3.563E-3	3.267E-2	36	1280	ESR1,LY96,TLR6,F2R,NOD1,MTUS1,CMKLR1,MMP2,MN1,COL12A1,TNC,ANXA2,PDGFD,FOXP1,PDE5A,PUM1,FYN,PROS1,MASP1,BCL2,SIRPA,NRP1,RGMA,SUPT5H,JAM3,UACA,NT5E,RTN4,CASP8,ADTRP,EDN1,EDNRA,THBS4,SERPINB1,IRAK3,SMAD3
GO: Biological Process	GO:0060385	axonogenesis involved in innervation	 	6.153E-5	3.316E-1	3.563E-3	3.267E-2	4	16	ALCAM,NRP1,EDN1,EDNRA
GO: Biological Process	GO:0001822	kidney development	 	6.237E-5	3.362E-1	3.563E-3	3.267E-2	20	526	PKD2,ALDH1A3,VCAN,PDGFD,OSR1,PROX1,MYC,BCL2,SIX4,NRP1,MAGI2,SULF1,TCF21,CNTRL,EDNRA,TGFB2,HEYL,SMAD3,SMAD7,PLCE1
GO: Biological Process	GO:0001823	mesonephros development	 	6.272E-5	3.381E-1	3.563E-3	3.267E-2	9	123	PKD2,VCAN,OSR1,MYC,BCL2,SIX4,TCF21,SMAD3,SMAD7
GO: Biological Process	GO:0061138	morphogenesis of a branching epithelium	 	6.396E-5	3.447E-1	3.563E-3	3.267E-2	13	252	ABL1,ESR1,PKD2,TNC,PROX1,MYC,BCL2,SIX4,NRP1,SULF1,TCF21,EDN1,EDNRA
GO: Biological Process	GO:0001706	endoderm formation	 	6.410E-5	3.455E-1	3.563E-3	3.267E-2	8	96	MMP2,COL8A1,COL12A1,POU5F1,OSR1,INHBA,ITGB5,LAMB1
GO: Biological Process	GO:0042692	muscle cell differentiation	 	6.412E-5	3.456E-1	3.563E-3	3.267E-2	23	658	ACTN1,COL14A1,FHL2,NOX4,MIR100,AKAP12,FOXP1,PROX1,MYC,BCL2,SIX4,PTGFRN,STIM1,NFATC2,JAM3,SYNE1,CAPZB,LAMA2,LAMB1,CASP7,EDN1,EDNRA,SPRY4
GO: Biological Process	GO:0032835	glomerulus development	 	7.112E-5	3.833E-1	3.909E-3	3.585E-2	9	125	PDGFD,OSR1,BCL2,MAGI2,SULF1,TCF21,EDNRA,HEYL,PLCE1
GO: Biological Process	GO:0072073	kidney epithelium development	 	7.181E-5	3.870E-1	3.909E-3	3.585E-2	12	220	PKD2,VCAN,OSR1,MYC,BCL2,SIX4,MAGI2,TCF21,EDNRA,HEYL,SMAD3,SMAD7
GO: Biological Process	GO:0070301	cellular response to hydrogen peroxide	 	7.605E-5	4.099E-1	4.099E-3	3.758E-2	10	156	CDKN2A,ABL1,PDGFD,FOXP1,FYN,CYP1B1,BCL2,SIRPA,EDN1,EDNRA
GO: Biological Process	GO:0034614	cellular response to reactive oxygen species	 	8.173E-5	4.405E-1	4.361E-3	3.999E-2	12	223	CDKN2A,ABL1,PKD2,MMP2,PDGFD,FOXP1,FYN,CYP1B1,BCL2,SIRPA,EDN1,EDNRA
GO: Biological Process	GO:0045597	positive regulation of cell differentiation	 	8.418E-5	4.537E-1	4.417E-3	4.050E-2	34	1199	DPF1,ABL1,ANKRD54,RIN2,ALCAM,CMKLR1,FNDC3B,CARMIL1,RGCC,MIR100,SLC6A6,IGFBP3,PDE5A,ZFHX3,PROX1,MYC,INHBA,BCL2,TIAM2,NRP1,SOCS2,SUPT5H,RTN4,LAMA2,LAMB1,CASP8,EDN1,TGFB2,HEYL,LOXL2,MEDAG,MACF1,SMAD3,SMAD7
GO: Biological Process	GO:0010810	regulation of cell-substrate adhesion	 	8.441E-5	4.550E-1	4.417E-3	4.050E-2	13	259	CDKN2A,ABL1,RIN2,COL8A1,CARMIL1,CCDC80,BCL2,NRP1,KANK1,SPRY4,MACF1,PLEKHA2,SMAD3
GO: Biological Process	GO:0072001	renal system development	 	8.702E-5	4.690E-1	4.510E-3	4.135E-2	20	539	PKD2,ALDH1A3,VCAN,PDGFD,OSR1,PROX1,MYC,BCL2,SIX4,NRP1,MAGI2,SULF1,TCF21,CNTRL,EDNRA,TGFB2,HEYL,SMAD3,SMAD7,PLCE1
GO: Biological Process	GO:0031103	axon regeneration	 	9.195E-5	4.956E-1	4.709E-3	4.318E-2	8	101	MMP2,COL12A1,TNC,VCAN,BCL2,RGMA,JAM3,RTN4
GO: Biological Process	GO:0001704	formation of primary germ layer	 	9.261E-5	4.992E-1	4.709E-3	4.318E-2	11	192	MMP2,COL8A1,COL12A1,POU5F1,OSR1,INHBA,ITGB5,LAMB1,MSGN1,MACF1,SMAD3
GO: Biological Process	GO:0048844	artery morphogenesis	 	9.858E-5	5.313E-1	4.938E-3	4.528E-2	8	102	PKD2,PROX1,NRP1,RTN4,EDN1,EDNRA,TGFB2,SMAD7
GO: Biological Process	GO:0048678	response to axon injury	 	9.895E-5	5.333E-1	4.938E-3	4.528E-2	10	161	MATN2,MMP2,COL12A1,TNC,VCAN,PROS1,BCL2,RGMA,JAM3,RTN4
GO: Biological Process	GO:0071363	cellular response to growth factor stimulus	 	1.040E-4	5.608E-1	5.145E-3	4.718E-2	29	963	ABL1,FLRT2,MMP2,FST,SMURF2,JCAD,NOX4,POU5F1,IGFBP3,PDGFD,RASL11B,FYN,MYC,ZNF423,ITGB5,NRP1,RGMA,MAGI2,SULF1,SUPT5H,DYNLRB1,GRB10,EDN1,TGFB2,HEYL,SPRY4,LTBP1,SMAD3,SMAD7
GO: Biological Process	GO:0051241	negative regulation of multicellular organismal process	 	1.054E-4	5.679E-1	5.162E-3	4.734E-2	39	1472	CDKN2A,MAP2,MBD1,MBP,TLR6,F2R,CMKLR1,MMP2,FST,TNC,ANXA2,RGCC,CHSY1,MIR100,OSR1,FOXP1,PDE5A,PROS1,PROX1,MYC,INHBA,ZNF423,BCL2,SIRPA,NRP1,SOCS2,RGMA,SULF1,NOVA1,RTN4,ADTRP,EDN1,TGFB2,THBS4,LOXL2,SERPINB1,IRAK3,SMAD3,SMAD7
GO: Biological Process	GO:0032651	regulation of interleukin-1 beta production	 	1.148E-4	6.186E-1	5.551E-3	5.090E-2	9	133	TLR6,F2R,NOD1,FOXP1,PANX1,SIRPA,CASP8,SERPINB1,SMAD3
GO: Biological Process	GO:0048589	developmental growth	 	1.153E-4	6.217E-1	5.551E-3	5.090E-2	33	1168	ABL1,ACACB,MAP2,ESR1,COL14A1,ALCAM,COL6A3,TNC,ANXA6,POU5F1,AKAP12,FOXP1,FYN,PROX1,MYC,INHBA,GATM,BCL2,SIX4,PTGFRN,NRP1,STIM1,SOCS2,RGMA,MAGI2,RTN4,LAMB1,EDN1,EDNRA,TGFB2,MACF1,SMAD3,SMAD7
GO: Biological Process	GO:0001525	angiogenesis	 	1.178E-4	6.348E-1	5.603E-3	5.138E-2	27	873	DDAH1,ABL1,VSTM4,AMOTL1,MMP2,JCAD,COL8A1,ANXA2,RGCC,CYP1B1,NRP1,STIM1,PXDN,SULF1,JAM3,TCF21,RTN4,CASP8,ADTRP,EDN1,EDNRA,TGFB2,FMNL3,THBS4,ANGPTL2,LOXL2,EPAS1
GO: Biological Process	GO:0010942	positive regulation of cell death	 	1.194E-4	6.438E-1	5.603E-3	5.138E-2	26	826	CDKN2A,ABL1,TRPS1,TLR6,NOD1,SSH1,MMP2,ALDH1A3,PHLDA1,RGCC,NOX4,AKAP12,SLC6A6,PPP2R1B,IGFBP3,FOXP1,PDE5A,FYN,MYC,CYP1B1,INHBA,UACA,CASP7,CASP8,TGFB2,TPD52L1
GO: Biological Process	GO:0001932	regulation of protein phosphorylation	 	1.196E-4	6.444E-1	5.603E-3	5.138E-2	36	1324	CDKN2A,ABL1,TLR6,ANKRD54,PKD2,SH3BP5,ANXA2,RGCC,NOX4,PRKAG3,IGFBP3,PDGFD,PDE5A,FYN,PROX1,INHBA,SLCO3A1,BCL2,SIRPA,MAP3K12,MPRIP,NRP1,RGMA,KSR1,LRRK1,ADTRP,EDN1,EDNRA,TGFB2,THBS4,SPRY4,MOB3B,IRAK3,SMAD7,TPD52L1,PLCE1
GO: Biological Process	GO:0007292	female gamete generation	 	1.280E-4	6.898E-1	5.946E-3	5.453E-2	13	270	HENMT1,MLH1,MMP2,FST,PDE5A,PUM1,MYC,INHBA,PANX1,BCL2,CNTRL,EDN1,EDNRA
GO: Biological Process	GO:0001666	response to hypoxia	 	1.304E-4	7.030E-1	6.008E-3	5.510E-2	19	512	DDAH1,MLH1,MMP2,RGCC,NOX4,IGFBP3,PDE5A,MYC,TM9SF4,BCL2,NRP1,RTN4,EDN1,EDNRA,TGFB2,LIPA,LOXL2,EPAS1,SMAD3
GO: Biological Process	GO:0048675	axon extension	 	1.330E-4	7.169E-1	6.075E-3	5.571E-2	11	200	ABL1,MAP2,ALCAM,COL6A3,TNC,NRP1,STIM1,RTN4,EDN1,EDNRA,MACF1
GO: Biological Process	GO:0014911	positive regulation of smooth muscle cell migration	 	1.356E-4	7.307E-1	6.140E-3	5.630E-2	7	80	SSH1,NOX4,PDGFD,MYC,CYP1B1,BCL2,NRP1
GO: Biological Process	GO:0007160	cell-matrix adhesion	 	1.428E-4	7.696E-1	6.413E-3	5.881E-2	13	273	CDKN2A,ABL1,ACTN1,RIN2,BCL2,SIRPA,ITGB5,NRP1,JAM3,ARHGEF28,MACF1,PLEKHA2,SMAD3
GO: Biological Process	GO:0042325	regulation of phosphorylation	 	1.455E-4	7.841E-1	6.480E-3	5.942E-2	39	1495	CDKN2A,ABL1,TLR6,ANKRD54,PKD2,SH3BP5,ANXA2,RGCC,NOX4,PRKAG3,IGFBP3,PDGFD,PDE5A,FYN,PROX1,MYC,INHBA,SLCO3A1,BCL2,SIRPA,MAP3K12,MPRIP,NRP1,SOCS2,RGMA,KSR1,GRB10,LRRK1,ADTRP,EDN1,EDNRA,TGFB2,THBS4,SPRY4,MOB3B,IRAK3,SMAD7,TPD52L1,PLCE1
GO: Biological Process	GO:0016049	cell growth	 	1.602E-4	8.634E-1	6.923E-3	6.348E-2	23	700	CDKN2A,ABL1,MAP2,COL14A1,ALCAM,COL6A3,TNC,IGFBP3,FOXP1,INHBA,BCL2,NRP1,STIM1,SOCS2,RGMA,RTN4,EDN1,EDNRA,TGFB2,MACF1,SMAD3,SMAD7,PLCE1
GO: Biological Process	GO:0032611	interleukin-1 beta production	 	1.606E-4	8.657E-1	6.923E-3	6.348E-2	9	139	TLR6,F2R,NOD1,FOXP1,PANX1,SIRPA,CASP8,SERPINB1,SMAD3
GO: Biological Process	GO:0051247	positive regulation of protein metabolic process	 	1.628E-4	8.777E-1	6.923E-3	6.348E-2	44	1773	CDKN2A,ABL1,MBP,TLR6,F2R,SLC25A37,NOD1,PKD2,ANXA2,RGCC,NOX4,PIAS1,LRRC46,METTL5,PDGFD,PDE5A,FYN,PROX1,MYC,CYP1B1,INHBA,WBP1L,SLCO3A1,BCL2,MAP3K12,MAGEF1,MPRIP,NRP1,RGMA,MAGI2,NNMT,UACA,CNTRL,CASP8,LRRK1,ADTRP,EDN1,EDNRA,TGFB2,THBS4,MOB3B,SMAD3,SMAD7,TPD52L1
GO: Biological Process	GO:0071559	response to transforming growth factor beta	 	1.631E-4	8.793E-1	6.923E-3	6.348E-2	15	354	ABL1,MMP2,SMURF2,NOX4,PDGFD,RASL11B,ZFHX3,FYN,ITGB5,DYNLRB1,EDN1,TGFB2,LTBP1,SMAD3,SMAD7
